GeneroCliente,EstadoCivil_Cl,Qtd_Filhos_Cl,SegmentoCliente
M,1,1,A
F,4,0,C
M,2,0,C
F,1,0,A
M,1,1,B
F,2,3,B
F,2,1,A
M,4,3,A
M,3,0,A
F,1,1,C
M,3,2,A
M,1,2,C
F,1,4,C
F,3,3,B
F,1,2,B
M,1,0,A
M,1,3,A
M,2,3,A
F,3,1,B
M,4,3,C
M,2,1,B
M,1,4,A
M,2,2,B
F,2,0,C
F,5,2,B
M,1,4,C
M,1,2,B
M,4,1,B
F,1,0,B
F,1,3,B
F,1,1,A
M,1,3,B
M,2,0,B
M,3,4,B
F,2,4,C
F,3,0,A
M,2,4,A
M,1,3,C
F,3,2,C
F,4,1,B
M,2,4,C
F,3,3,A
M,2,2,A
M,3,3,C
F,5,2,A
F,2,0,A
M,4,0,C
M,3,3,B
F,3,4,C
F,3,2,B
F,4,0,A
F,1,0,C
M,4,2,C
M,4,2,B
M,2,1,A
M,2,4,B
F,2,3,A
M,3,2,B
F,2,3,C
M,1,0,C
M,1,2,A
M,4,1,C
M,4,0,A
F,5,2,C
F,3,1,A
F,4,1,A
F,4,1,C
F,2,2,B
M,3,0,B
F,4,2,C
F,3,1,C
F,3,0,C
F,1,2,C
M,4,0,B
M,3,1,C
F,4,3,A
F,4,0,B
F,1,1,B
M,3,1,B
F,3,2,A
M,2,3,C
F,3,0,B
F,2,1,C
M,3,0,C
F,1,3,C
F,1,4,B
F,3,3,C
F,2,0,B
F,2,2,A
M,1,4,B
F,4,3,B
F,2,4,B
M,5,3,B
F,3,4,B
M,5,2,B
F,5,1,C
F,5,1,A
M,4,2,A
F,5,3,A
M,5,2,A
M,2,2,C
M,3,4,A
F,4,3,C
F,5,1,B
F,4,2,B
M,2,1,C
F,2,1,B
M,2,0,A
M,3,2,C
F,5,3,B
M,1,0,B
M,1,1,C
M,3,4,C
M,5,1,C
M,2,3,B
F,1,2,A
M,4,3,B
F,2,2,C
M,5,1,B
M,5,2,C
